,word,idf
3416,老婆,31.967762326169407
267,住,32.05895404120444
1553,同事,32.150667514303876
144,下来,32.4914873112753
209,睡,32.83961038961039
245,躺,32.91441588024732
719,学校,33.33750823994726
355,拉,33.692871419053965
1526,医院,34.1018206338503
1544,女孩,34.21718538565629
115,大师,34.22876480541455
471,家人,34.28677966101695
454,开,34.686556927297666
717,非常,34.770024063251974
769,怕,34.78198074277854
1771,男友,34.90200138026225
272,送,35.1323376172282
1385,杀,35.39048285514346
960,打电话,35.577207175518815
517,弟弟,35.791224345364476
593,猫,35.943852167732764
94,完,35.969416785206256
231,头,36.25304659498208
364,怀孕,36.40964722822174
1105,路,36.74028332727933
2618,女朋友,36.94156318480643
270,回去,38.168301886792456
140,这是,38.240453686200375
1189,捡,38.66437308868502
215,姐姐,38.72358346094946
819,老师,39.06759366550792
1914,进,39.433138401559454
855,出,39.88406940063091
1442,快,40.185141040921735
357,请,41.267237862097105
497,遇到,41.52134646962233
1196,不好,41.83043837882548
876,长,42.2321503131524
1045,身边,42.40922431865828
472,事,42.5340622371741
1398,救,42.55195624737063
694,妹妹,42.64165261382799
1515,生气,42.931239388794566
1378,喊,43.484952708512466
522,白色,44.0147954743255
1056,前,44.53808894760017
388,现实,45.255480984340046
864,进去,45.27573858549687
367,梦境,45.336620349619004
4299,生,45.54074741107609
1186,放,45.66410835214447
496,帮忙,45.829632985953786
157,见,47.02278010227801
665,不要,47.375175644028104
3724,死去,47.57572906867357
467,请问,47.57572906867357
225,笑,47.59811764705882
141,怎么回事,47.755429650613785
711,弄,47.800567107750474
4849,发生,47.84578997161778
261,一点,48.0047460844803
705,高,48.3258480649785
615,妈,48.41838200095739
750,挺,48.72157996146436
333,赶紧,48.9100580270793
1517,不能,49.076176613294514
1028,门口,49.076176613294514
2154,前男友,49.4601466992665
1646,以后,49.508565834557025
652,黑色,49.99802273850717
2491,一群,50.24639841033284
27,那种,50.37151394422311
1152,伤心,50.39661185849527
848,正在,50.44688279301746
49,门,50.573
72,跟着,50.72517552657974
2134,躲,50.82713567839196
636,棺材,51.135490394337715
2171,跳,51.21316455696203
1687,开车,51.42145399084901
1856,一边,51.47379134860051
118,谢谢,51.84315735520246
812,不会,51.949666153055986
702,鬼,52.16400206291903
464,医生,52.35300207039337
983,一看,52.62539021852237
278,身体,52.70766023970818
2834,头发,52.76264997391758
318,红色,53.262769878883624
730,男生,53.488101533580114
918,开心,54.43810548977395
2816,工作,54.43810548977395
458,中间,54.49676724137931
486,回,54.52614555256065
664,放在,54.7919826652221
882,父母,54.88117200217037
306,下去,54.88117200217037
2228,脚,54.970652173913045
